split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params
0.7734806629834253,0.8478260869565218,0.8444444444444444,0.7218934911242605,0.8800000000000001,0.8135575981302945,0.05747364944803113,97,0.41774139404296873,0.025068129986762305,0.02118678092956543,0.0041639424676412915,balanced_subsample,2,sqrt,1,2,109,"OrderedDict([('class_weight', 'balanced_subsample'), ('max_depth', 2), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 109)])"
0.9120879120879122,0.9555555555555557,0.9550561797752809,0.9273743016759777,0.9662921348314608,0.9432651074424847,0.020224065235656764,23,2.977577257156372,0.025501189120968864,0.1580047130584717,0.008651202168083672,,27,log2,1,3,961,"OrderedDict([('class_weight', None), ('max_depth', 27), ('max_features', 'log2'), ('min_samples_leaf', 1), ('min_samples_split', 3), ('n_estimators', 961)])"
0.8961748633879781,0.9497206703910613,0.9438202247191012,0.9222222222222222,0.96045197740113,0.9344623672320722,0.02285978322144513,45,2.7639872074127196,0.020004134494918054,0.14399137496948242,0.004192986731580837,,29,sqrt,2,3,926,"OrderedDict([('class_weight', None), ('max_depth', 29), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 926)])"
0.8877005347593583,0.907103825136612,0.9050279329608938,0.8901098901098902,0.9265536723163842,0.9032877072521709,0.013954652824775303,81,2.5503779888153075,0.01955707930197693,0.14498825073242189,0.00901270089241036,,5,log2,3,3,991,"OrderedDict([('class_weight', None), ('max_depth', 5), ('max_features', 'log2'), ('min_samples_leaf', 3), ('min_samples_split', 3), ('n_estimators', 991)])"
0.7624309392265195,0.8524590163934427,0.8295454545454547,0.7176470588235295,0.8470588235294119,0.8018726214133007,0.05290757074801322,100,0.30838751792907715,0.007448186640849037,0.02090029716491699,0.0021996245702175657,,2,log2,8,12,142,"OrderedDict([('class_weight', None), ('max_depth', 2), ('max_features', 'log2'), ('min_samples_leaf', 8), ('min_samples_split', 12), ('n_estimators', 142)])"
0.9032258064516128,0.9555555555555557,0.9497206703910613,0.9222222222222222,0.9666666666666666,0.9394668715918497,0.02330186559109695,35,3.335010290145874,0.027844330536907002,0.1517711639404297,0.005187822504497915,,10,log2,1,2,1000,"OrderedDict([('class_weight', None), ('max_depth', 10), ('max_features', 'log2'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 1000)])"
0.8791208791208791,0.9273743016759776,0.9204545454545455,0.8800000000000001,0.9318181818181818,0.9077577831872763,0.0232980096763722,76,0.2973630905151367,0.02627239882957616,0.01819272041320801,0.0029304938499656267,balanced,32,log2,6,2,100,"OrderedDict([('class_weight', 'balanced'), ('max_depth', 32), ('max_features', 'log2'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 100)])"
0.8633879781420765,0.9204545454545455,0.9152542372881356,0.8876404494382023,0.9318181818181818,0.9036973694596634,0.024855092572510652,78,2.4201898097991945,0.05221363355848785,0.14659533500671387,0.01605782253812989,balanced_subsample,25,sqrt,6,4,644,"OrderedDict([('class_weight', 'balanced_subsample'), ('max_depth', 25), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 644)])"
0.8913043478260869,0.9325842696629215,0.9265536723163842,0.8938547486033519,0.9371428571428572,0.9162897767782867,0.019658953882170413,69,2.235775518417358,0.07021053114246412,0.08019709587097168,0.0066783298041053546,balanced_subsample,23,sqrt,5,5,511,"OrderedDict([('class_weight', 'balanced_subsample'), ('max_depth', 23), ('max_features', 'sqrt'), ('min_samples_leaf', 5), ('min_samples_split', 5), ('n_estimators', 511)])"
0.9021739130434783,0.9497206703910613,0.9491525423728814,0.9273743016759777,0.96045197740113,0.9377606981555808,0.020800884687290338,39,1.0001975059509278,0.026723736388836572,0.05377874374389648,0.008681625491015924,,24,log2,2,2,320,"OrderedDict([('class_weight', None), ('max_depth', 24), ('max_features', 'log2'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 320)])"
0.8715083798882681,0.9310344827586208,0.9195402298850575,0.903954802259887,0.9431818181818182,0.9138217914156275,0.024820638564579254,70,0.28317842483520506,0.016431132015677478,0.022406864166259765,0.009135515570143499,,27,sqrt,1,16,100,"OrderedDict([('class_weight', None), ('max_depth', 27), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 16), ('n_estimators', 100)])"
